MW,logP,HBD,HBA,TPSA,RotBonds,Aromatic,Dielectric,Dipole,RefractiveIndex,Viscosity,SurfaceTension,Density,MeltingPoint,BoilingPoint,FlashPoint,VaporPressure,ET30,Polarity,HBond_acidity,HBond_basicity,Polarizability,DN,AN
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
41.05,-0.34,0.0,1.0,23.79,0.0,0.0,37.5,3.92,1.344,0.369,29.3,0.786,-45.7,81.6,6.0,9.71,45.6,5.8,0.19,0.4,4.4,14.1,18.9
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
84.93,1.25,0.0,0.0,0.0,0.0,0.0,8.93,1.6,1.424,0.413,26.5,1.327,-96.7,39.6,0.0,47.4,40.7,3.1,0.13,0.1,6.48,0.0,20.4
